what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1455541068215
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.natives",1455541068355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541086356
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1455541086372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541086653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541096444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541098433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541106273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541111352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541125998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541128276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541133620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541152395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541154380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541160244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541169530
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1455541169561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541170874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541182316
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455541182723
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1455541182839
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1455541182945
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455541182949
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1455541211754
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1455541211754
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1455541211754
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1455541211754
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1455541211754
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1455541211754
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1455541211754
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1455541211754
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1455541211754
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1455541211754
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1455541211754
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1455541211754
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1455541211754
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1455541211754
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1455541211754
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1455541211754
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1455541211754
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1455541211754
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1455541211754
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1455541211754
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1455541211754
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1455541211754
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1455541211769
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1455541211769
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1455541211769
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1455541211769
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1455541211769
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1455541211769
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1455541211769
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1455541211769
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1455541211769
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1455541211769
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1455541211769
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1455541211769
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1455541211769
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1455541211769
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1455541211769
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1455541211769
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1455541211769
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1455541211769
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1455541211769
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1455541211769
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1455541211769
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1455541211769
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1455541211769
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1455541211769
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1455541211769
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1455541211769
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1455541211769
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1455541211769
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1455541211769
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1455541211769
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1455541211769
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1455541211769
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1455541211769
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1455541211769
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1455541211769
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1455541211769
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1455541211769
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1455541211769
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1455541211769
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1455541211769
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1455541211769
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1455541211769
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1455541211769
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455541211769
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1455541211769
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1455541211769
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1455541211769
started,bundle,com.google.protobuf,2.4.0.v201105131100,"com.google.protobuf",1455541211769
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.core",1455541211769
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.bugzilla.ui",1455541211769
started,bundle,org.eclipse.mylyn.commons.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.core",1455541211769
started,bundle,org.eclipse.mylyn.commons.net,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.net",1455541211769
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.core",1455541211769
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.feed",1455541211769
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1455541211769
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1455541211769
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1455541211769
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1455541211769
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1455541211769
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1455541211769
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1455541211769
started,bundle,org.springframework.ide.eclipse.uaa,3.4.0.201310051510-RELEASE,"org.springframework.ide.eclipse.uaa",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.configurator,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.configurator",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.core,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.core",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.frameworks.core,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.frameworks.core",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.frameworks.ui,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.frameworks.ui",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.gettingstarted,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.gettingstarted",1455541211769
started,bundle,org.springsource.ide.eclipse.commons.ui,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.commons.ui",1455541211769
started,bundle,org.springsource.ide.eclipse.dashboard.ui,3.4.0.201310051510-RELEASE,"org.springsource.ide.eclipse.dashboard.ui",1455541211769
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1455541211769
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1455541211769
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1455541211769
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1455541211769
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1455541211769
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1455541211769
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1455541211769
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1455541211769
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1455541211769
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1455541211769
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1455541211769
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1455541211769
os,sysinfo,,,"win32",1455541211769
arch,sysinfo,,,"x86_64",1455541211769
ws,sysinfo,,,"win32",1455541211769
locale,sysinfo,,,"fr_FR",1455541211769
processors,sysinfo,,,"8",1455541211769
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455541211769
java.runtime.version,sysinfo,,,"1.8.0_73-b02",1455541211769
java.specification.name,sysinfo,,,"Java Platform API Specification",1455541211769
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455541211769
java.specification.version,sysinfo,,,"1.8",1455541211769
java.vendor,sysinfo,,,"Oracle Corporation",1455541211769
java.version,sysinfo,,,"1.8.0_73",1455541211769
java.vm.info,sysinfo,,,"mixed mode",1455541211769
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455541211769
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455541211769
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455541211769
java.vm.specification.version,sysinfo,,,"1.8",1455541211769
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455541211769
java.vm.version,sysinfo,,,"25.73-b02",1455541211769
